hcode,name,entity_type,affiliation,phone,website,address_no,moo,soi,road,subdistrict,district,province,postal_code,uc_phone,uc_email,doc_email,coordinators,network_types
41692,คลินิกเทคนิคการแพทย์ฟ้าสีรุ้งรามคำแหง,"Med-Tech Clinic (R020602)",เอกชน,027316532-3,,"1,3 ชั้น1-2",,รามคำแหง97/2,,,,กรุงเทพมหานคร,10240,,,,,R020602
F0377,มูลนิธิเพื่อนพนักงานบริการ,"Foundation/CBO (R0216)",เอกชน,026329502,,3,,พัฒน์พงศ์,สุรวงศ์,,,กรุงเทพมหานคร,10500,,,,,R0216
F0379,"มูลนิธิเอชไอวี เอเชีย","Foundation/CBO (R0216)",เอกชน,0890391918,,49/29,,ประดิพัทธ์21,ประดิพัทธ์,,,กรุงเทพมหานคร,10400,,,,"ธนบดี วงพุธทะ <thanabodithanabodi@gmail.com> 0933616594 | ธีรศักดิ์ ประสานพิมพ์ <teerasak025@gmail.com> 0887755838 | นพรัตน์ มหาโชคชัย <nopparat.110988@gmail.com> 0657361153 | สมาน พวงศรี <sno_koko30@hotmail.com> 0917365092 | ณัฐภูมิเศรษฐ สุวรรณศรี <mr.mathee@hotmail.co.th> 0628653188 | จันจิรา สายทอง <jumjanjira23@gmail.com> 0637507054",R0216
F0293,สมาคมพัฒนาอนามัยแห่งประเทศไทย,"Foundation/CBO (R0216)",เอกชน,"02 880 7084",,41/9,,,บรมราชชชนนี,,,กรุงเทพมหานคร,10170,,,,"นายเทอดศักด์ จำนงค์ศิลป์ <omm242515@gmail.com> 0618367565",R0216
F0381,สมาคมฟ้าสีรุ้งแห่งประเทศไทย,"Foundation/CBO (R0216)",เอกชน,"02 731 6532 ต่อ 102",,"1 และ 3",,"รามคำแหง 97/2",รามคำแหง,,,กรุงเทพมหานคร,10240,,,,,R0216
43401,สวิงสะพานควายคลินิกเทคนิคการแพทย์,"Med-Tech Clinic (R020602)",เอกชน,02-1150251,,1417/31,00,,พหลโยธิน,,,กรุงเทพมหานคร,10400,,,,,R020602
52630,"สวิงสีลม สหคลินิก","Med-Tech Clinic (R020602)",เอกชน,026329501,,"64 อาคารสีลม 64 ชั้น 6 ห้องเลขที่ 601-607",,,สีลม,,,กรุงเทพมหานคร,10500,026329501,clinic.slm@swingth.org,clinic.slm@swingth.org,"วิสนา อนุพันธ์วิทยากุล <wisana.fern@gmsail.com> 0841533243","R0206, R0207"
G1478,คณะทำงานเพื่อสุขภาพชุมชน,"Foundation/CBO (R0216)",เอกชน,034910023,,286/73-74,,,แสงชูโต,บ้านเหนือ,เมืองกาญจนบุรี,กาญจนบุรี,71000,,,,,R0216
G8926,ชมรมน้ำใจท่านเจ้าคุณไพบูลย์,"Foundation/CBO (R0216)",เอกชน,0926759768,,406,08,,,พนมทวน,พนมทวน,กาญจนบุรี,71140,,,,,R0216
G8901,ชมรมมะขามหวาน,"Foundation/CBO (R0216)",เอกชน,0889431967,,403,01,เทศบาลด่านมะขามเตี้ย,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,กาญจนบุรี,71260,,,,"นางสาวปัทมา ศรีสกุล <> 0929549177",R0216
G8902,ชมรมรักษ์ม่วง,"Foundation/CBO (R0216)",เอกชน,0871644856,,978/1,03,,แสงชูโต,ท่าม่วง,ท่าม่วง,กาญจนบุรี,71110,,,,,R0216
G1476,กลุ่มเพื่อนกมลาไสย/ฆ้องชัย,"Foundation/CBO (R0216)",เอกชน,061-1600328,https://cpp.nhso.go.th/profile/?hcode=G1476,111,11,,,กมลาไสย,กมลาไสย,กาฬสินธุ์,46130,,,,"นางสาวสมรัก ภูวิชัย <somrak.klshp@gmail.com> 061-1600328 | นายชินบัญชร์ จันทฤาชา <> 098-1637987",R0216
G8895,กลุ่มเพื่อนคำม่วง,"Foundation/CBO (R0216)",เอกชน,0817998583,,"92 โรงพยาบาลคำม่วง",10,,,ทุ่งคลอง,คำม่วง,กาฬสินธุ์,46180,,,,,R0216
G8898,กลุ่มเพื่อนไดโนเสาร์,"Foundation/CBO (R0216)",เอกชน,0801460649,,48,10,,,โนนบุรี,สหัสขันธ์,กาฬสินธุ์,46140,,,,,R0216
G1449,"กลุ่ม M.QUEER","Foundation/CBO (R0216)",เอกชน,0918617818,,55,12,,,คำแคน,มัญจาคีรี,ขอนแก่น,40160,,,,,R0216
