hcode,name,registration_type,affiliation,phone,website,address_no,moo,soi,road,subdistrict,district,province,postal_code,uc_phone,uc_email,doc_email,coordinators
F0377,มูลนิธิเพื่อนพนักงานบริการ,หน่วยบริการที่รับการส่งต่อ,เอกชน,026329502,,3,,พัฒน์พงศ์,สุรวงศ์,,,กรุงเทพมหานคร,10500,,,,
F0379,"มูลนิธิเอชไอวี เอเชีย",หน่วยบริการที่รับการส่งต่อ,เอกชน,0890391918,,49/29,,ประดิพัทธ์21,ประดิพัทธ์,,,กรุงเทพมหานคร,10400,,,,"ธนบดี วงพุธทะ <thanabodithanabodi@gmail.com> 0933616594 | ธีรศักดิ์ ประสานพิมพ์ <teerasak025@gmail.com> 0887755838 | นพรัตน์ มหาโชคชัย <nopparat.110988@gmail.com> 0657361153 | สมาน พวงศรี <sno_koko30@hotmail.com> 0917365092 | ณัฐภูมิเศรษฐ สุวรรณศรี <mr.mathee@hotmail.co.th> 0628653188 | จันจิรา สายทอง <jumjanjira23@gmail.com> 0637507054"
F0293,สมาคมพัฒนาอนามัยแห่งประเทศไทย,หน่วยบริการที่รับการส่งต่อ,เอกชน,"02 880 7084",,41/9,,,บรมราชชชนนี,,,กรุงเทพมหานคร,10170,,,,"นายเทอดศักด์ จำนงค์ศิลป์ <omm242515@gmail.com> 0618367565"
F0381,สมาคมฟ้าสีรุ้งแห่งประเทศไทย,หน่วยบริการที่รับการส่งต่อ,เอกชน,"02 731 6532 ต่อ 102",,"1 และ 3",,"รามคำแหง 97/2",รามคำแหง,,,กรุงเทพมหานคร,10240,,,,
G1478,คณะทำงานเพื่อสุขภาพชุมชน,หน่วยบริการที่รับการส่งต่อ,เอกชน,034910023,,286/73-74,,,แสงชูโต,บ้านเหนือ,เมืองกาญจนบุรี,กาญจนบุรี,71000,,,,
G8926,ชมรมน้ำใจท่านเจ้าคุณไพบูลย์,หน่วยบริการที่รับการส่งต่อ,เอกชน,0926759768,,406,08,,,พนมทวน,พนมทวน,กาญจนบุรี,71140,,,,
G8901,ชมรมมะขามหวาน,หน่วยบริการที่รับการส่งต่อ,เอกชน,0889431967,,403,01,เทศบาลด่านมะขามเตี้ย,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,กาญจนบุรี,71260,,,,"นางสาวปัทมา ศรีสกุล <> 0929549177"
G8902,ชมรมรักษ์ม่วง,หน่วยบริการที่รับการส่งต่อ,เอกชน,0871644856,,978/1,03,,แสงชูโต,ท่าม่วง,ท่าม่วง,กาญจนบุรี,71110,,,,
G1476,กลุ่มเพื่อนกมลาไสย/ฆ้องชัย,หน่วยบริการที่รับการส่งต่อ,เอกชน,061-1600328,https://cpp.nhso.go.th/profile/?hcode=G1476,111,11,,,กมลาไสย,กมลาไสย,กาฬสินธุ์,46130,,,,"นางสาวสมรัก ภูวิชัย <somrak.klshp@gmail.com> 061-1600328 | นายชินบัญชร์ จันทฤาชา <> 098-1637987"
G8895,กลุ่มเพื่อนคำม่วง,หน่วยบริการที่รับการส่งต่อ,เอกชน,0817998583,,"92 โรงพยาบาลคำม่วง",10,,,ทุ่งคลอง,คำม่วง,กาฬสินธุ์,46180,,,,
