org_name_th|org_name_en|type|region|province|address|phone|email|website|facebook|contact_person|target_population|services|status|source_url|notes
มูลนิธิเอ็มพลัส|M Plus Foundation|Foundation|North|Chiang Mai|142 ม.1 ซ.ชมจันทร์ ถ.เชียงใหม่-ฮอด ต.ป่าแดด อ.เมือง จ.เชียงใหม่|099-371-4666||https://www.mplusthailand.com/en/|mpluschaingmai||MSM, MSW, TGW|HIV/STI testing, PrEP, PEP, counseling, DIC||https://www.mplusthailand.com/en/|Priority: national KP-led backbone CBO; IHRI consortium partner; multiple branches (CM, Chiang Rai, Phitsanulok); established; large volume likely 500+/mo
เอ็มพลัส เชียงราย|M Plus Chiang Rai|Foundation|North|Chiang Rai|||||||MSM, MSW, TGW|HIV testing, PrEP||https://speakoutthailand.com/clinics/mplus-chiangrai/|MPlus branch; verify via HQ
เอ็มพลัส พิษณุโลก|M Plus Phitsanulok|Foundation|North|Phitsanulok|||||||MSM, MSW, TGW|HIV testing, PrEP|likely|https://www.mplusthailand.com/en/|MPlus branch implied; LINKAGES supported Phitsanulok CBO
สมาคมฟ้าสีรุ้งแห่งประเทศไทย|Rainbow Sky Association of Thailand (RSAT)|Association|Central/Bangkok|Bangkok|1 และ 3 ซ.รามคำแหง 97/2 ถ.รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ 10240|02-731-6532-33||https://www.rsat.info/en/|rsat.info||MSM, TGW, PWID, SW, Migrants|HIV/STI testing, PrEP, PEP, treatment, hormone testing, legal||https://www.rsat.info/en/contact-2/|Priority: 6 clinics + 10 drop-in centers; national coverage; tech-savvy; high volume
คลินิกเทคนิคการแพทย์ฟ้าสีรุ้ง รามคำแหง|RSAT Ramkhamhaeng Medical Technology Clinic|Clinic|Central/Bangkok|Bangkok|1 และ 3 ซ.รามคำแหง 97/2 แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ 10240|02-731-6532 ต่อ 102||https://www.rsat.info/en/|||MSM, TGW|HIV testing, PrEP, PEP||https://www.rsat.info/en/contact-2/|RSAT main clinic; NHSO Section 3 likely
คลินิกเทคนิคการแพทย์ฟ้าสีรุ้ง หาดใหญ่|RSAT Hat Yai Fah Si Rung Medical Technology Clinic|Clinic|South|Songkhla|97 ถ.นิพัทธสงเคราะห์ 2 ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110|074-232-101||https://www.rsat.info/en/|||MSM, TGW|HIV testing, PrEP, PEP||https://www.rsat.info/en/contact-2/|RSAT branch; main South presence
คลินิกเทคนิคการแพทย์ฟ้าสีรุ้ง อุบลราชธานี|RSAT Ubon Ratchathani Medical Technology Clinic|Clinic|Northeast|Ubon Ratchathani|542 ถ.พิชิตรังสรรค์ ต.ในเมือง อ.เมือง จ.อุบลราชธานี 34000|045-957-070||https://www.rsat.info/en/|||MSM, TGW|HIV testing, PrEP, PEP||https://www.rsat.info/en/contact-2/|RSAT branch
คลินิกเทคนิคการแพทย์ฟ้าสีรุ้ง นครสวรรค์|RSAT Nakhon Sawan Medical Technology Clinic|Clinic|North/Central|Nakhon Sawan|625/1 ห้อง 2 ถ.โกสีย์ ต.ปากน้ำโพ อ.เมือง จ.นครสวรรค์|02-731-6532 ต่อ 102||https://www.rsat.info/en/|||MSM, TGW|HIV testing, PrEP, PEP||https://www.rsat.info/en/contact-2/|RSAT branch
คลินิกเทคนิคการแพทย์ฟ้าสีรุ้ง นครปฐม|RSAT Nakhon Pathom Medical Technology Clinic|Clinic|Central|Nakhon Pathom|151/8-9 ถ.สระแก้ว ต.พระประโทน อ.เมือง จ.นครปฐม|02-731-6532 ต่อ 102||https://www.rsat.info/en/|||MSM, TGW|HIV testing, PrEP, PEP||https://www.rsat.info/en/contact-2/|RSAT branch
คลินิกเทคนิคการแพทย์ฟ้าสีรุ้ง ชลบุรี|RSAT Chonburi Medical Technology Clinic|Clinic|East|Chonburi|94/6 ม.4 ต.บ้านสวน อ.เมือง จ.ชลบุรี 20000|038-195-073||https://www.rsat.info/en/|||MSM, TGW|HIV testing, PrEP, PEP||https://www.rsat.info/en/contact-2/|RSAT branch
มูลนิธิเพื่อนพนักงานบริการ (สวิง)|Service Workers in Group Foundation (SWING)|Foundation|Central/Bangkok|Bangkok|อาคาร 64 ชั้น 6 ห้อง 601 ถ.สีลม แขวงสุริยวงศ์ เขตบางรัก กรุงเทพฯ 10500|02-632-9501|admin@swingthailand.org|https://www.swingthailand.org|SWINGThailandTH||FSW, MSW, TGSW|HIV/STI testing, PrEP, legal, empowerment, 20-30k clients/yr||https://www.swingthailand.org/en/contact|Priority: IHRI consortium; very high volume (20-30k/yr); 3 clinics (Silom, Saphan Kwai, Pattaya)
สวิง สาขาสะพานควาย|SWING Saphan Kwai|Clinic|Central/Bangkok|Bangkok|||02-632-9501||https://www.swingthailand.org|||FSW, MSW, TGSW|HIV testing, PrEP||https://love2test.org/en/clinic/swing-saphankhwai|SWING 2nd branch
สวิง สาขาพัทยา|SWING Pattaya|Clinic|East|Chonburi (Pattaya)|45/54 ม.10 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150|038-412-297||https://www.swingthailand.org|||FSW, MSW, TGSW|HIV testing, PrEP, PEP||https://www.swingthailand.org/en/contact|SWING Pattaya branch
มูลนิธิแคร์แมท|Caremat Foundation|Foundation|North|Chiang Mai|257/102-103 ถ.สุเทพ ต.สุเทพ อ.เมือง จ.เชียงใหม่|052-005-458, 099-241-6419|caremat@caremat.org|https://caremat.org|carematorg||MSM, TGW, MSW, FSW|HIV/STI testing, PrEP, PEP, counseling, mental health||https://www.facebook.com/carematorg/|Priority: EXISTING CAREMAT user — AutoNAP is built to integrate with their data flow; tech-savvy
มูลนิธิซิสเตอร์|Sisters Foundation|Foundation|East|Chonburi (Pattaya)|417/64-65 ม.9 ซ.อรุโณทัย ต.หนองปรือ อ.บางละมุง จ.ชลบุรี|082-778-9826|sistersfoundation.th@gmail.com||sistersfoundationTH||TGW|HIV/STI testing, PrEP, PEP, hormones, counseling||https://www.facebook.com/sistersfoundationTH/|Priority: first TGW-led foundation; Princess PrEP participant; est. 2004
มูลนิธิโอโซน|Ozone Foundation|Foundation|Central/Bangkok|Bangkok|(Bangkok suburb — verify)||||||PWID, PWUD|Needle exchange, HIV testing, PrEP, HCV referral|likely|https://idpc.net/members/ozone-foundation|Priority: only major PWID/harm reduction CBO; partner with Dreamlopments; independent since 2015
มูลนิธิรักษ์ไทย|Raks Thai Foundation (CARE Thailand)|Foundation|Central/Bangkok|Bangkok|185 ซ.ประดิพัทธ์ 6 ถ.ประดิพัทธ์ แขวงสามเสนใน เขตพญาไท กรุงเทพฯ 10400|02-265-6888|info@raksthai.org|https://www.raksthai.org/||| Migrant, FSW, Fisheries|PHAMIT migrant HIV program, prevention||https://www.raksthai.org/en/contact.php|Large multi-program foundation; migrant HIV focus (Burmese, Cambodian)
มูลนิธิเข้าถึงเอดส์|AIDS Access Foundation|Foundation|Central/Bangkok|Bangkok|48/283 Center Place ซ.รามคำแหง 104 ถ.รามคำแหง เขตสะพานสูง กรุงเทพฯ 10240|02-372-2222, 02-372-2113-4|access@aidsaccess.com|https://www.aidsaccess.com/|||PLHIV, general|Advocacy, treatment access, prevention education||https://www.aidsaccess.com/|Large advocacy org; policy focused but may have service delivery
มูลนิธิเพื่อนพนักงานบริการ (สวิง) สาขาพัทยา|SWING Pattaya Branch||East|Chonburi|45/54 ม.10 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี|038-412-297||https://www.swingthailand.org|||FSW, MSW|HIV testing, PrEP||https://www.swingthailand.org/en/contact|duplicate reference
